qtype,Question,Answer
symptoms,What are the symptoms of Heart Attack ?,"Symptoms Can Vary Not all heart attacks begin with the sudden, crushing chest pain that often is shown on TV or in the movies. The warning signs and symptoms of a heart attack aren't the same for everyone. Many heart attacks start slowly as mild pain or discomfort. Some people don't have symptoms at all. Heart attacks that occur without any symptoms or very mild symptoms are called silent heart attacks. However, some people may have a pattern of symptoms that recur. The more signs and symptoms you have, the more likely it is that you're having a heart attack If you have a second heart attack, your symptoms may not be the same as the first heart attack. Here are common signs and symptoms of a heart attack. Chest Pain or Discomfort The most common symptom of heart attack is chest pain or discomfort. Chest pain or discomfort that doesn't go away or changes from its usual pattern (for example, occurs more often or while you're resting) can be a sign of a heart attack. Most heart attacks involve discomfort in the center of the chest that lasts for more than a few minutes or goes away and comes back. The discomfort can feel like uncomfortable pressure, squeezing, fullness, or pain. It can be mild or severe. Heart attack pain can sometimes feel like indigestion or heartburn. All chest pain should be checked by a doctor. Other Upper Body Discomfort Discomfort can also occur in other areas of the upper body, including pain or numbness in one or both arms, the back, neck, jaw or stomach. Shortness of Breath Shortness of breath often happens along with, or before chest discomfort. Other Symptoms Other symptoms may include - breaking out in a cold sweat   - having nausea and vomiting   - feeling light-headed or dizzy   - fainting   - sleep problems   - fatigue   - lack of energy.  breaking out in a cold sweat having nausea and vomiting feeling light-headed or dizzy fainting sleep problems fatigue lack of energy. Angina or a Heart Attack? Angina is chest pain or discomfort that occurs if an area of your heart muscle doesn't get enough oxygen-rich blood. Angina occurs in people who have coronary heart disease, usually when they're active. Angina symptoms can be very similar to heart attack symptoms. Angina pain usually lasts for only a few minutes and goes away with rest. If you think you may be having a heart attack, or if your angina pain does not go away as usual when you take your angina medication as directed, call 9-1-1 for help. You can begin to receive life saving treatment in the ambulance on the way to the emergency room."
causes,What causes Heart Attack ?,"Most heart attacks are caused by a blood clot that blocks one of the coronary arteries, the blood vessels that bring blood and oxygen to the heart muscle. When blood cannot reach part of your heart, that area starves for oxygen. If the blockage continues long enough, cells in the affected area die. The Most Common Cause Coronary heart disease (CHD)is the most common underlying cause of a heart attack. CHD, also called coronary artery disease, is the hardening and narrowing of the coronary arteries caused by the buildup of plaque inside the walls of the arteries. When plaque builds up in the arteries, the condition is called atherosclerosis (ath-er-o-skler-O-sis). The buildup of plaque occurs over many years. Over time, an area of plaque can rupture (break open) inside of an artery. This causes a blood clot to form on the plaque's surface. If the clot becomes large enough, it can mostly or completely block blood flow through a coronary artery. If the blockage isn't treated quickly, the portion of heart muscle fed by the artery begins to die. Healthy heart tissue is replaced with scar tissue. This heart damage may not be obvious, or it may cause severe or long-lasting problems. Other Causes Heart attack also can occur due to problems with the very small, microscopic blood vessels of the heart. This condition is called microvascular disease. It's believed to be more common in women than in men. A less common cause of heart attacks is a severe spasm or tightening of the coronary artery that cuts off blood flow to the heart. These spasms can occur in persons with or without coronary artery disease. What causes a coronary artery to spasm isn't always clear. A spasm may be related to emotional stress or pain, exposure to extreme cold, cigarette smoking, or by taking certain drugs like cocaine. Risk Factors You Cannot Change Certain factors make it more likely that you will develop coronary artery disease and have a heart attack. These risk factors include some things you cannot change. If you are a man over age 45 or a woman over age 55, you are at greater risk. Having a family history of early heart disease, diagnosed in a father or brother before age 55 or in a mother or sister before age 65, is another risk factor. You are also at risk if you have a personal history of angina or previous heart attack, or if you have had a heart procedure such as percutaneous coronary intervention (PCI) or coronary artery bypass surgery (CABG). Risk Factors You Can Change Importantly, there are many risk factors that you can change. These include - smoking  - being overweight or obese  - physical inactivity  - high blood pressure  - high blood cholesterol  - high blood sugar due to insulin resistance or diabetes   - an unhealthy diet (for example, a diet high in saturated fat, trans fat, cholesterol, and sodium). smoking being overweight or obese physical inactivity high blood pressure high blood cholesterol high blood sugar due to insulin resistance or diabetes an unhealthy diet (for example, a diet high in saturated fat, trans fat, cholesterol, and sodium). Metabolic Syndrome Some of these risk factorssuch as obesity, high blood pressure, and high blood sugartend to occur together. When they do, it's called metabolic syndrome. In general, a person with metabolic syndrome is twice as likely to develop heart disease and five times as likely to develop diabetes as someone without metabolic syndrome."
susceptibility,Who is at risk for Heart Attack? ?,"Lowering your risk factors for coronary heart disease (CHD) can help you prevent a heart attack. Even if you already have CHD or have already had a heart attack, you can still take steps to lower your risk. These steps involve following a heart healthy lifestyle and getting ongoing care for conditions that raise your risk. Heart Healthy Lifestyle Changes You can make these lifestyle changes to lower your risk of having a heart attack. - If you smoke, quit.  - Maintain a healthy weight.  - Be as physically active as you can.  - Follow a heart healthy diet. If you smoke, quit. Maintain a healthy weight. Be as physically active as you can. Follow a heart healthy diet. If you smoke, quit.  Smoking can raise your risk of CHD and heart attack. Talk with your doctor about programs and products that can help you quit. Also, try to avoid secondhand smoke. Maintain a healthy weight.  If you're overweight or obese, work with your doctor to create a reasonable weight-loss plan that involves diet and physical activity. Controlling your weight helps you control risk factors for coronary heart disease (CHD) and heart attack. Be as physically active as you can. Physical activity can improve your fitness level and your health. Talk with your doctor about what types of activity are safe for you. Follow a heart healthy diet.  Following a healthy diet is an important part of a heart healthy lifestyle. Eat a healthy diet to prevent or reduce high blood pressure and high blood cholesterol, and to maintain a healthy weight. A healthy diet includes a variety of fruits, vegetables, and whole grains. It also includes lean meats, poultry, fish, beans, and fat-free or low-fat milk or milk products. A healthy diet is low in saturated fat, trans fat, cholesterol, sodium (salt), and added sugars. For More Information About Healthy Eating For more information about following a healthy diet, go to the National Heart, Lung, and Blood Institute's (NHLBI's) Aim for a Healthy Weight Web site,  Your Guide to a Healthy Heart, and  Your Guide to Lowering Your Blood Pressure With DASH. In addition, a variety of heart healthy recipes to help you plan meals is available at  Aim for a Healthy Weight. All of these resources provide general information about healthy eating. Treatment for Related Conditions Get treatment for related conditions that make having a heart attack more likely. - If you have high blood cholesterol, follow your doctor's advice about lowering it. Take medications to lower your cholesterol as directed if diet and exercise aren't enough.   -  If you have high blood pressure, follow your doctor's advice about keeping it under control. Take blood pressure medications as directed.   - If you have diabetes, sometimes called high blood sugar, try to control your blood sugar level through diet and physical activity (as your doctor recommends). If needed, take medicine as prescribed. If you have high blood cholesterol, follow your doctor's advice about lowering it. Take medications to lower your cholesterol as directed if diet and exercise aren't enough. If you have high blood pressure, follow your doctor's advice about keeping it under control. Take blood pressure medications as directed. If you have diabetes, sometimes called high blood sugar, try to control your blood sugar level through diet and physical activity (as your doctor recommends). If needed, take medicine as prescribed."
exams and tests,How to diagnose Heart Attack ?,"If You Have Symptoms, Call 9-1-1 Diagnosis and treatment of a heart attack can begin when emergency personnel arrive after you call 9-1-1. Do not put off calling 9-1-1 because you are not sure that you are having a heart attack. Call within 5 minutes of the start of symptoms. At the hospital emergency room, doctors will work fast to find out if you are having or have had a heart attack. They will consider your symptoms, medical and family history, and test results. Initial tests will be quickly followed by treatment if you are having a heart attack. Diagnostic Tests - an electrocardiogram  - blood tests  - nuclear heart scan  - cardiac catheterization  - and coronary angiography. an electrocardiogram blood tests nuclear heart scan cardiac catheterization and coronary angiography. The electrocardiogram, also known as ECG or EKG, is used to measure the rate and regularity of your heartbeat. Blood tests are also used in diagnosing a heart attack. When cells in the heart die, they release enzymes into the blood. They are called markers or biomarkers. Measuring the amount of these markers in the blood can show how much damage was done to your heart. Doctors often repeat these tests to check for changes. The nuclear heart scan uses radioactive tracers to outline the heart chambers and major blood vessels leading to and from the heart. A nuclear heart scan shows any damage to your heart muscle as well as how well blood flows to and from the heart. In cardiac catheterization, a thin, flexible tube is passed through an artery in your groin or arm to reach the coronary arteries. This test allows your doctor to - determine blood pressure and flow in the heart's chambers  - collect blood samples from the heart, and  - examine the arteries of the heart by x-ray. determine blood pressure and flow in the heart's chambers collect blood samples from the heart, and examine the arteries of the heart by x-ray. Coronary angiography is usually done with the cardiac catheterization. A dye that can be seen on an x-ray is injected through the catheter into the coronary arteries. It shows where there are blockages and how severe they are."
treatment,What are the treatments for Heart Attack ?,"Heart attacks are a leading killer of both men and women in the United States. The good news is that excellent treatments are available for heart attacks. These treatments can save lives and prevent disabilities. Heart attack treatment works best when it's given right after symptoms occur. Act Fast The signs and symptoms of a heart attack can develop suddenly. However, they also can develop slowlysometimes within hours, days, or weeks of a heart attack. Know the warning signs of a heart attack so you can act fast to get treatment for yourself or someone else. The sooner you get emergency help, the less damage your heart will sustain. Call 911 for an ambulance right away if you think you or someone else may be having a heart attack. You also should call for help if your chest pain doesn't go away as it usually does when you take medicine prescribed for angina. Treatment May Start Right Away Treatment for a heart attack may begin in the ambulance or in the emergency department and continue in a special area of the hospital called a coronary care unit. Do not drive to the hospital or let someone else drive you. Call an ambulance so that medical personnel can begin life-saving treatment on the way to the emergency room. Restoring Blood Flow to the Heart The coronary care unit is specially equipped with monitors that continuously monitor your vital signs. These include - an EKG which detects any heart rhythm problems  - a blood pressure monitor, and  - pulse oximetry, which measures the amount of oxygen in the blood. an EKG which detects any heart rhythm problems a blood pressure monitor, and pulse oximetry, which measures the amount of oxygen in the blood. In the hospital, if you have had or are having a heart attack, doctors will work quickly to restore blood flow to your heart and continuously monitor your vital signs to detect and treat complications. Restoring blood flow to the heart can prevent or limit damage to the heart muscle and help prevent another heart attack. Doctors may use clot-busting drugs called thrombolytics and procedures such as angioplasty. - Clot-busters or thrombolytic drugs are used to dissolve blood clots that are blocking blood flow to the heart. When given soon after a heart attack begins, these drugs can limit or prevent permanent damage to the heart. To be most effective, these drugs must be given within one hour after the start of heart attack symptoms.   - Angioplasty procedures are used to open blocked or narrowed coronary arteries. A stent, which is a tiny metal mesh tube, may be placed in the artery to help keep it open. Some stents are coated with medicines that help prevent the artery from becoming blocked again.   - Coronary artery bypass surgery uses arteries or veins from other areas in your body to bypass your blocked coronary arteries.  Clot-busters or thrombolytic drugs are used to dissolve blood clots that are blocking blood flow to the heart. When given soon after a heart attack begins, these drugs can limit or prevent permanent damage to the heart. To be most effective, these drugs must be given within one hour after the start of heart attack symptoms. Angioplasty procedures are used to open blocked or narrowed coronary arteries. A stent, which is a tiny metal mesh tube, may be placed in the artery to help keep it open. Some stents are coated with medicines that help prevent the artery from becoming blocked again. Coronary artery bypass surgery uses arteries or veins from other areas in your body to bypass your blocked coronary arteries. Drug Treatments Many medications are used to treat heart attacks. They include beta blockers, ACE inhibitors, nitrates, anticoagulants, antiplatelet medications, and medications to relieve pain and anxiety. - Beta blockers slow your heart rate and reduce your heart's need for blood and oxygen. As a result, your heart beats with less force, and your blood pressure falls. Beta blockers are also used to relieve angina and prevent second heart attacks and correct an irregular heartbeat.  - Angiotensin-converting enzyme or ACE inhibitors lower your blood pressure and reduce the strain on your heart. They are used in some patients after a heart attack to help prevent further weakening of the heart and increase the chances of survival.  - Nitrates, such as nitroglycerin, relax blood vessels and relieve chest pain. Anticoagulants, such as heparin and warfarin, thin the blood and prevent clots from forming in your arteries.  - >Antiplatelet medications, such as aspirin and clopidogrel, stop platelets from clumping together to form clots. They are given to people who have had a heart attack, have angina, or have had an angioplasty.   - Glycoprotein llb-llla inhibitors are potent antiplatelet medications given intravenously to prevent clots from forming in your arteries. Beta blockers slow your heart rate and reduce your heart's need for blood and oxygen. As a result, your heart beats with less force, and your blood pressure falls. Beta blockers are also used to relieve angina and prevent second heart attacks and correct an irregular heartbeat. Angiotensin-converting enzyme or ACE inhibitors lower your blood pressure and reduce the strain on your heart. They are used in some patients after a heart attack to help prevent further weakening of the heart and increase the chances of survival. Nitrates, such as nitroglycerin, relax blood vessels and relieve chest pain. Anticoagulants, such as heparin and warfarin, thin the blood and prevent clots from forming in your arteries. >Antiplatelet medications, such as aspirin and clopidogrel, stop platelets from clumping together to form clots. They are given to people who have had a heart attack, have angina, or have had an angioplasty. Glycoprotein llb-llla inhibitors are potent antiplatelet medications given intravenously to prevent clots from forming in your arteries. Doctors may also prescribe medications to relieve pain and anxiety, or to treat irregular heart rhythms which often occur during a heart attack. Echocardiogram and Stress Tests While you are still in the hospital or after you go home, your doctor may order other tests, such as an echocardiogram. An echocardiogram uses ultrasound to make an image of the heart which can be seen on a video monitor. It shows how well the heart is filling with blood and pumping it to the rest of the body. Your doctor may also order a stress test to see how well your heart works when it has a heavy workload. You run on a treadmill or pedal a bicycle or receive medicine through a vein in your arm to make your heart work harder. EKG and blood pressure readings are taken before, during, and after the test to see how your heart responds. Often, an echocardiogram or nuclear scan of the heart is performed before and after exercise or intravenous medication. The test is stopped if chest pain or a very sharp rise or fall in blood pressure occurs. Monitoring continues for 10 to 15 minutes after the test or until your heart rate returns to baseline."
information,What is (are) Heart Attack ?,"A heart attack occurs when the supply of blood and oxygen to an area of the heart muscle is blocked, usually by a blood clot in a coronary artery. If the blockage is not treated within a few hours, the heart muscle will be permanently damaged and replaced by scar tissue."
causes,What causes Heart Attack ?,"Coronary heart disease, or CHD, is the most common underlying cause of a heart attack. Coronary arteries are the blood vessels that bring blood and oxygen to the heart muscle. Most heart attacks are caused by a blood clot that blocks one of the coronary arteries. When blood cannot reach part of your heart, that area starves for oxygen. If the blockage continues long enough, cells in the affected area die."
symptoms,What are the symptoms of Heart Attack ?,"Most heart attacks involve discomfort in the center of the chest that lasts more than a few minutes or goes away and comes back. The discomfort can feel like uncomfortable pressure, squeezing, fullness, or pain. It can include pain or numbness in one or both arms, the back, neck, jaw, or stomach. Heart attack pain can sometimes feel like indigestion or heartburn. Shortness of breath often happens along with, or before chest discomfort. Other symptoms may include breaking out in a cold sweat, having nausea and vomiting, or feeling light-headed or dizzy. Symptoms vary, and some people have no symptoms. Know the symptoms of a heart attack so you can act fast to get treatment."
symptoms,What are the symptoms of Heart Attack ?,"No. Most heart attack patients do not have all of the symptoms. The important thing to remember is that if you have any of the symptoms and they grow more intense, and last more than 5 minutes, you should call 9-1-1 immediately."
frequency,How many people are affected by Heart Attack ?,"Very common. Each year, more than 1 million people in the U.S. have a heart attack and about half of them die. About one-half of those who die do so within 1 hour of the start of symptoms and before reaching the hospital."
susceptibility,Who is at risk for Heart Attack? ?,"Certain factors increase the risk of developing coronary heart disease and having a heart attack. These risk factors include some things you cannot change. You are at greater risk if you -  are a man over age 45 or a woman over age 55.  -  have a family history of early heart disease -- heart disease in a father or brother before age 55 or in a mother or sister before age 65.   - have a personal history of angina or previous heart attack.   -  have had a heart procedure, such as angioplasty or heart bypass. are a man over age 45 or a woman over age 55. have a family history of early heart disease -- heart disease in a father or brother before age 55 or in a mother or sister before age 65. have a personal history of angina or previous heart attack. have had a heart procedure, such as angioplasty or heart bypass. Importantly, there are many risk factors for heart attack that you CAN change, including -  smoking  - being obese or overweight  - being physically inactive   -  having high blood pressure, high blood cholesterol or diabetes. smoking being obese or overweight being physically inactive having high blood pressure, high blood cholesterol or diabetes."
susceptibility,Who is at risk for Heart Attack? ?,"You can lower your risk of having a heart attack, even if you have already had a heart attack or have been told that your chances of having a heart attack are high. To prevent a heart attack, you will need to make lifestyle changes. You may also need to get treatment for conditions that raise your risk. Lifestyle changes you can make to lower your risk for heart attack include the following: - If you smoke, quit.  - Maintain a healthy weight. Lose weight gradually if you are overweight or obese. If you smoke, quit. Maintain a healthy weight. Lose weight gradually if you are overweight or obese. - Follow a heart healthy diet  -- such as one low in salt, saturated fat and trans fat, and calories -- to prevent or reduce high blood pressure and high blood cholesterol and maintain a healthy weight.  - Be as physically active as you can. Follow a heart healthy diet  -- such as one low in salt, saturated fat and trans fat, and calories -- to prevent or reduce high blood pressure and high blood cholesterol and maintain a healthy weight. Be as physically active as you can. Get treatment for related conditions that might make having a heart attack more likely. - If you have high blood cholesterol, follow your doctor's advice about lowering it. Take medications to lower your cholesterol as directed.  - If you have high blood pressure, follow your doctor's advice about keeping it under control. Take blood pressure medications as directed.  - If you have diabetes, sometimes called high blood sugar, follow your doctor's advice about keeping blood sugar levels under control. Take your medicines as directed. If you have high blood cholesterol, follow your doctor's advice about lowering it. Take medications to lower your cholesterol as directed. If you have high blood pressure, follow your doctor's advice about keeping it under control. Take blood pressure medications as directed. If you have diabetes, sometimes called high blood sugar, follow your doctor's advice about keeping blood sugar levels under control. Take your medicines as directed."
exams and tests,How to diagnose Heart Attack ?,"Several tests are used to diagnose a heart attack. - An electrocardiogram, also called an EKG, measures the rate and regularity of your heartbeat.  - Blood tests identify and measure markers in the blood that can show how much damage was done to your heart. These tests are often repeated at specific time periods to check for changes.  - A nuclear heart scan uses radioactive tracers to show damage to heart chambers and major blood vessels.  - Cardiac catheterization involves passing a thin flexible tube through an artery in your groin or arm to look at your coronary arteries. It allows your doctor to examine the blood flow in your heart's chambers.  - Cardiac angiography is usually performed along with cardiac catheterization, using a dye injected through the cardiac catheter. The dye allows the doctor to see where there may be blockages in the coronary arteries. An electrocardiogram, also called an EKG, measures the rate and regularity of your heartbeat. Blood tests identify and measure markers in the blood that can show how much damage was done to your heart. These tests are often repeated at specific time periods to check for changes. A nuclear heart scan uses radioactive tracers to show damage to heart chambers and major blood vessels. Cardiac catheterization involves passing a thin flexible tube through an artery in your groin or arm to look at your coronary arteries. It allows your doctor to examine the blood flow in your heart's chambers. Cardiac angiography is usually performed along with cardiac catheterization, using a dye injected through the cardiac catheter. The dye allows the doctor to see where there may be blockages in the coronary arteries."
treatment,What are the treatments for Heart Attack ?,"If you are having a heart attack, doctors will work quickly to restore blood flow to the heart and continuously monitor vital signs to detect and treat complications. Restoring blood flow to the heart can prevent or limit damage to the heart muscle and help prevent another heart attack. Doctors may use clot-busting drugs called thrombolytics and procedures, such as angioplasty. Long-term treatment after a heart attack may include cardiac rehabilitation, checkups and tests, lifestyle changes, and medications."
information,What is (are) Heart Attack ?,"Angina is a recurring pain or discomfort in the chest that happens when some part of the heart does not receive enough blood. An episode of angina is not a heart attack. However, people with angina may have a hard time telling the difference between angina and heart attack symptoms. Angina is chest pain or discomfort that occurs when your heart muscle does not get enough blood. Angina may feel like pressure or a squeezing pain in your chest. The pain may also occur in your shoulders, arms, neck, jaw, or back. It may also feel like indigestion. It is usually relieved within a few minutes by resting or by taking prescribed angina medicine."
treatment,What are the treatments for Heart Attack ?,"There are many medicines that are used to treat a heart attack. - Clot-busters or thrombolytic drugs dissolve blood clots that are blocking blood flow to the heart.  - Beta blockers decrease the workload on your heart by slowing your heart rate.  - Angiotensin-converting enzyme (ACE) inhibitors lower your blood pressure and reduce the strain on your heart.  - Nitrates, such as nitroglycerin  relax blood vessels and relieve chest pain.  - Anticoagulants thin the blood and prevent clots from forming in your arteries.  - Antiplatelet medications, such as aspirin and clopidogrel, stop platelets from clumping together to form clots. These medications are given to people who have had a heart attack, have angina, or have had angioplasty. Clot-busters or thrombolytic drugs dissolve blood clots that are blocking blood flow to the heart. Beta blockers decrease the workload on your heart by slowing your heart rate. Angiotensin-converting enzyme (ACE) inhibitors lower your blood pressure and reduce the strain on your heart. Nitrates, such as nitroglycerin  relax blood vessels and relieve chest pain. Anticoagulants thin the blood and prevent clots from forming in your arteries. Antiplatelet medications, such as aspirin and clopidogrel, stop platelets from clumping together to form clots. These medications are given to people who have had a heart attack, have angina, or have had angioplasty. Doctors may also prescribe medicines to relieve pain and anxiety, or to treat irregular heart rhythms which often occur during a heart attack."
information,What is (are) Heart Attack ?,"Having a heart attack increases your chances of having another one. Therefore, it is very important that you and your family know how and when to seek medical attention. Talk to your doctor about making an emergency action plan, and discuss it with your family. The emergency action plan should include - warning signs or symptoms of a heart attack  - instructions for accessing emergency medical services in your community, including calling 9-1-1  - steps you can take while waiting for medical help to arrive, such as taking aspirin and nitroglycerin  - important information to take along with you to the hospital, such as a list of medications that you take or that you are allergic to, and name and number of whom you should contact if you go to the hospital. warning signs or symptoms of a heart attack instructions for accessing emergency medical services in your community, including calling 9-1-1 steps you can take while waiting for medical help to arrive, such as taking aspirin and nitroglycerin important information to take along with you to the hospital, such as a list of medications that you take or that you are allergic to, and name and number of whom you should contact if you go to the hospital."
treatment,What are the treatments for Heart Attack ?,"After a heart attack, many people worry about having another heart attack. They often feel depressed and may have trouble adjusting to a new lifestyle. You should discuss your feelings with your doctor. Your doctor can give you medication for anxiety or depression and may recommend professional counseling. Spend time with family, friends, and even pets. Affection can make you feel better and less lonely. Most people stop feeling depressed after they have fully recovered."
information,What is (are) Heart Attack ?,More detailed information on heart attacks is available at www.nhlbi.nih.gov/health/dci.
information,What is (are) Stroke ?,"Stroke -- A Serious Event A stroke is serious, just like a heart attack. Each year in the United States, approximately 795,000 people have a stroke. About 610,000 of these are first or new strokes. On average, one American dies from stroke every four minutes. Stroke is the fourth leading cause of death in the United States, and causes more serious long-term disabilities than any other disease. Nearly three-quarters of all strokes occur in people over the age of 65. And the risk of having a stroke more than doubles each decade between the ages of 55 and 85. Stroke occurs in all age groups, in both sexes, and in all races in every country. It can even occur before birth, when the fetus is still in the womb. Learning about stroke can help you act in time to save a relative, neighbor, or friend. And making changes in your lifestyle can help you prevent stroke. What Is Stroke? A stroke is sometimes called a ""brain attack."" Most often, stroke occurs when blood flow to the brain stops because it is blocked by a clot. When this happens, the brain cells in the immediate area begin to die. Some brain cells die because they stop getting the oxygen and nutrients they need to function. Other brain cells die because they are damaged by sudden bleeding into or around the brain. The brain cells that don't die immediately remain at risk for death. These cells can linger in a compromised or weakened state for several hours. With timely treatment, these cells can be saved. New treatments are available that greatly reduce the damage caused by a stroke. But you need to arrive at the hospital as soon as possible after symptoms start to prevent disability and to greatly improve your chances for recovery. Knowing stroke symptoms, calling 911 immediately, and getting to a hospital as quickly as possible are critical. Ischemic Stroke There are two kinds of stroke. The most common kind of stroke is called ischemic stroke. It accounts for approximately 80 percent of all strokes. An ischemic stroke is caused by a blood clot that blocks or plugs a blood vessel supplying blood to the brain. Blockages that cause ischemic strokes stem from three conditions: - the formation of a clot within a blood vessel of the brain or neck, called thrombosis  - the movement of a clot from another part of the body, such as from the heart to the neck or brain, called an embolism  - a severe narrowing of an artery (stenosis) in or leading to the brain, due to fatty deposits lining the blood vessel walls. the formation of a clot within a blood vessel of the brain or neck, called thrombosis the movement of a clot from another part of the body, such as from the heart to the neck or brain, called an embolism a severe narrowing of an artery (stenosis) in or leading to the brain, due to fatty deposits lining the blood vessel walls. Hemorrhagic Stroke The other kind of stroke is called hemorrhagic stroke. A hemorrhagic stroke is caused by a blood vessel that breaks and bleeds into the brain. One common cause of a hemorrhagic stroke is a bleeding aneurysm. An aneurysm is a weak or thin spot on an artery wall. Over time, these weak spots stretch or balloon out due to high blood pressure. The thin walls of these ballooning aneurysms can rupture and spill blood into the space surrounding brain cells. Artery walls can also break open because they become encrusted, or covered with fatty deposits called plaque, eventually lose their elasticity and become brittle, thin, and prone to cracking. Hypertension, or high blood pressure, increases the risk that a brittle artery wall will give way and release blood into the surrounding brain tissue."
symptoms,What are the symptoms of Stroke ?,"Know the Signs Knowing the warning signs of stroke and controlling stroke's risk factors can lower your risk of death or disability. If you suffer a stroke, you may not realize it at first. The people around you might not know it, either. Your family, friends, or neighbors may think you are unaware or confused. You may not be able to call 911 on your own. That's why everyone should know the signs of stroke and know how to act fast. Warning signs are clues your body sends to tell you that your brain is not receiving enough oxygen. If you observe one or more of the following signs of a stroke or ""brain attack,"" don't wait. Call 911 right away! Common Signs of Stroke These are warning signs of a stroke: - sudden numbness or weakness of the face, arm, or leg, especially on one side of the body  - sudden confusion, trouble speaking or understanding  - sudden trouble seeing in one or both eyes  - sudden trouble walking, dizziness, loss of balance or coordination  - sudden severe headache with no known cause. sudden numbness or weakness of the face, arm, or leg, especially on one side of the body sudden confusion, trouble speaking or understanding sudden trouble seeing in one or both eyes sudden trouble walking, dizziness, loss of balance or coordination sudden severe headache with no known cause. Other danger signs that may occur include double vision, drowsiness, and nausea or vomiting. Don't Ignore ""Mini-Strokes"" Sometimes the warning signs of stroke may last only a few moments and then disappear. These brief episodes, known as transient ischemic attacks or TIAs, are sometimes called ""mini-strokes."" Although brief, TIAs identify an underlying serious condition that isn't going away without medical help. Unfortunately, since they clear up, many people ignore them. Don't ignore them. Heeding them can save your life. Why It's Important To Act Fast Stroke is a medical emergency. Every minute counts when someone is having a stroke. The longer blood flow is cut off to the brain, the greater the damage. Immediate treatment can save peoples lives and enhance their chances for successful recovery. Ischemic strokes, the most common type of strokes, can be treated with a drug called t-PA that dissolves blood clots obstructing blood flow to the brain. The window of opportunity to start treating stroke patients is three hours, but to be evaluated and receive treatment, patients need to get to the hospital within 60 minutes. What Should You Do? Don't wait for the symptoms of stroke to improve or worsen. If you believe you are having a stroke, call 911 immediately. Making the decision to call for medical help can make the difference in avoiding a lifelong disability and in greatly improving your chances for recovery. If you observe someone having a stroke  if he or she suddenly loses the ability to speak, or move an arm or leg on one side, or experiences facial paralysis on one side  call 911 immediately."
